x,y,diameter_pixel,imagePath,realDiameter,sample
912,494,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
819,146,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
68,45,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
657,57,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
1030,746,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
436,544,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
1066,285,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
928,382,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
372,370,352,example/input\Nikon DS-Ri2\Sample 1\092.tif,516.5835045494572,Sample 1
706,657,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
633,474,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
142,188,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
280,357,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
554,441,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
560,555,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
490,118,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
226,214,360,example/input\Nikon DS-Ri2\Sample 1\092.tif,528.3240387437631,Sample 1
483,396,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
237,84,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
218,300,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
717,567,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
760,447,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
1131,543,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
318,438,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
154,96,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514,Sample 1
423,453,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
288,156,320,example/input\Nikon DS-Ri2\Sample 1\092.tif,469.6213677722338,Sample 1
360,508,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.1024361608456,Sample 1
312,246,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397,Sample 1
